Numberof TX,Number of demodulation,Propagation conditions and,Number ofOFDM,Number ofPRBs,Channel bandwidth / SNR (dB)
antennas,branches,correlation matrix (Annex G),symbols,,400 MHz
1,2,TDLA10-650 Low,1,1,9.6
,,,2,16,-4.8
