Number of,Number of,Propagation,Frequency,SNR (dB),,
TX antennas,RX antennas,conditions and correlation matrix (Annex G),offset,Burst format A2,Burst format B4,Burst format C2
1,2,AWGN,1740 Hz,-11.3,-14.3,-11.1
,4,AWGN,1740 Hz,-13.5,-16.7,-13.4
,8,AWGN,1740 Hz,-15.6,-18.2,-15.5
