BS type,Wanted signal mean power (dBm),Interfering signal mean power (dBm),Type of interfering signals
Wide Area BS,PREFSENS + 6dB (Note 1),-52,
Medium Range BS,PREFSENS + 6dB (Note 2),-47,See Table 7.7.2-4
Local Area BS,PREFSENS + 6dB (Note 3),-44,
"NOTE 1:PREFSENS depends on the RAT.For NR, PREFSENS depends also on the BS channel bandwidth as specified in table 7.2.2-1.For NB-IoT, PREFSENS depends also on the sub-carrier spacing as specified in tables 7.2.1-5 of TS 36.104 [13].NOTE 2:PREFSENS depends on the RAT.For NR, PREFSENS depends also on the BS channel bandwidth as specified in table 7.2.2-2.For NB-IoT, PREFSENS depends also on the sub-carrier spacing as specified in tables 7.2.1-5c of TS 36.104 [13].NOTE 3:PREFSENS depends on the RAT.For NR, PREFSENS depends also on the BS channel bandwidth as specified in table 7.2.2-3.For NB-IoT, PREFSENS depends also on the sub-carrier spacing as specified in tables 7.2.1-5a of TS 36.104 [13].NOTE 4:For NB-IoT, the requirement shall apply only for a FRC A1-3 of TS 36.104 [13] mapped to the frequency range at the channel edge adjacent to the interfering signals.NOTE 5:For NB-IoT, the frequency offset shall be adjusted to accommodate the IMD product to fall in the NB-IoT RB for NB-IoT operation in NR in-band.NOTE 6:For NB-IoT, if a BS RF receiver fails the test of the requirement, the test shall be performed with the CW interfering signal frequency shifted away from the wanted signal by 180 kHz and the NR interfering signal frequency shifted away from the wanted signal by 360 kHz. If the BS RF receiver still fails the test after the frequency shift, then the BS RF receiver shall be deemed to fail the requirement.",,,
