Parameter,Value
Modulation order,QSPK
Starting RB location,0
Intra-slot frequency hopping,N/A
Number of PRBs,4
Number of symbols,1
The number of UCI information bits,4
First symbol,13
DM-RS sequence generation,NID0=0
