BS channel bandwidth of the lowest/highest carrier received (MHz),Wanted signal mean power (dBm),Interfering signal mean power (dBm)
FR1 channel bandwidth as defined in Table 5.3.2-1 (Note 1),PREFSENS + 6 dB,Wide Area BS: -49Medium Range BS: -44Local Area BS: -41
"NOTE 1:The SCS for the lowest/highest carrier received is the lowest SCS supported by the BS for that BS channel bandwidthNOTE 2:PREFSENS depends on the BS channel bandwidth as specified in tables 7.2.2-1, 7.2.2-2 and 7.2.2-3. NOTE 3:7.5 kHz shift is not applied to the wanted signal.",,
