SS block frequency position SSREF(MHz),GSCN,Note
920.73,41637,Only applicable for 12 PRB transmission bandwidth configuration within 3 MHz channel with punctured PBCH defined in TS 38.211 [9] clause 7.4.3.1.
921.45,41638,Only applicable for 20 PRB transmission bandwidth configuration within 5 MHz channel with unpunctured PBCH defined in TS 38.211 [9] clause 7.4.3.1.
