,Frequency regions for transition,BS transmitter behavior during transition
SBFD symbol to DL symbol,SBFD UL subband and guardband(s),BS transmitter OFF-to-ON
SBFD symbol to UL symbol,SBFD DL subband,BS transmitter ON-to-OFF
DL symbol to SBFD symbol,SBFD UL subband and guardband(s),BS transmitter ON-to-OFF
UL symbol to SBFD symbol,SBFD DL subband,BS transmitter OFF-to-ON
