Parameter,Value
Wanted signal,NR single carrier
Interfering signal type,NR signal of 40 MHz channel bandwidth
Interfering signal level,Rated total output power in the operating band – 30 dB
Interfering signal centre frequency offset from the lower/upper edge of the wanted signal,± 20 MHz± 60 MHz± 100 MHz
