Frequency Range,SBFD UL subband bandwidth (MHz),OTA wanted signal mean power (dBm)(NOTE 1),OTA interfering signal mean power (dBm)(NOTE 5),SBFD UD/UD or DUD case,Interfering signal centre frequency/frequencies,"Type of interfering signal(s)（NOTE 2, 3, 4）"
FR2-1,"50, 100, 200",EISREFSENS + 6 dB,Wide Area BS: EISREFSENS_50M + 34 + ΔFR2_REFSENS,DU or UD,"FC,SBFD,DL","CP-OFDM NR signal60 kHz SCS, BW = X (in the unit of RB)"
,,,,DUD,"FC,SBFD,DL,1FC,SBFD,DL,2","CP-OFDM NR signal60 kHz SCS, BW1 = X1 and BW2 = X2 (in the unit of RB)"
"NOTE 1:EISREFSENS depends on the SBFD BS UL subband bandwidth as specified in clause 12.6.3. NOTE 2:For DU or UD case, interfering signal is placed at FC,SBFD,DL. For DUD case, two interfering signals are placed at FC,SBFD,DL,1 and FC,SBFD,DL,2, respectively, OTA interfering signal mean power is the total power of the two interfering signals and the two interfering signals have the same power densityNOTE 3:For DU or UD case, X is the largest transmission bandwidth configuration as specified in table 5.3.2-2 that is not larger than NRB, SBFD, DL. For DUD case, X1 is the largest transmission bandwidth configuration as specified in table 5.3.2-2 that is not larger than NRB, SBFD, DL,1 and X2 is the largest transmission bandwidth configuration as specified in table 5.3.2-2 that is not larger than NRB, SBFD, DL,2.NOTE 4:In case the SBFD BS is configured with intra-band carrier aggregation, the set of interfering signals consists of the interfering signal(s) in this table and the signals from other intra-band contiguous carrier(s) operated in non-SBFD operation. The power spectral density of each interfering signal is set to be the same level.NOTE 5:For FR2-1 WA BS, in-channel adjacent subband blocking requirement assumes 87 dBc coupling loss between interfering BS transmitter and SBFD BS receiver.",,,,,,
