Test Number,Number of TX,Number of demodulation,Cyclic Prefix,Propagation conditions and,Additional DMRS configuration,Channel Bandwidth / SNR (dB),,
,antennas,branches,,correlation matrix (Annex G),,50 MHz,100 MHz,200 MHz
1,1,2,Normal,TDLA30-300 Low,No additional DM-RS,1.4,0.7,0.7
,,,,,Additional DM-RS,1.3,1.4,0.9
2,1,2,Normal,TDLA30-300 Low,No additional DM-RS,1.1,2.9,1.4
