Channel Bandwidth,Applicable NR-ARFCN
100 MHz,"2564083 + 1680 * N, N = 0:137"
400 MHz,"2566603 + 6720 * N, N = 0:33"
800 MHz,"2569963 + 6720 * N, N = 0:32"
1600 MHz,"2576683 + 6720 * N, N =0:30"
2000 MHz,"2580043 + 6720 * N, N=0:29,2585083, 2655643, 2692603, 2764843"
