Number of,Number of,Cyclic Prefix,Propagation,Channel bandwidth / SNR (dB),,,
TX antennas,RX antennas,,conditions and correlation matrix (Annex G),3 MHz,5 MHz,10 MHz,20 MHz
,2,Normal,TDLC300-100 Low,1.5,0.2,0.8,1.2
1,4,Normal,TDLC300-100 Low,-3.2,-3.6,-3.2,-3.2
,8,Normal,TDLC300-100 Low,-6.8,-6.8,-6.7,-6.8
