Number of TX antennas,Number of demodulation branches,Cyclic prefix,Propagation conditions and correlation matrix (annex G),Fraction of maximum throughput,FRC(annex A),Additional DM-RS position,PT-RS,SNR(dB)
1,2,Normal,TDLA10-650,70 %,G-FR2-A3B-5,pos1,No,-0.5
,,Normal,TDLA10-650,70 %,G-FR2-A4-23,pos1,Yes,10.8
,,Normal,TDLD10-200,70 %,G-FR2-A5-13,pos1,Yes,12.8
2,,Normal,TDLA10-650,70 %,G-FR2-A3B-10,pos1,No,3.5
,,Normal,TDLA10-650,70 %,G-FR2-A7-13,pos1,Yes,13.8
