Number of TX antennas,Number of demodulation branches,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),"UCI bits(CSI part 1, CSI part 2)",Additional DM-RS position,FRC(Annex A),SNR(dB)
,2,Normal,TDLA30-300 Low,"7(5,2)",pos0,G-FR2-A4-3,7.2
1,2,Normal,TDLA30-300 Low,"40(20,20)",pos0,G-FR2-A4-3,5.8
,2,Normal,TDLA30-300 Low,"7(5,2)",pos1,G-FR2-A4-13,7.8
,2,Normal,TDLA30-300 Low,"40(20,20)",pos1,G-FR2-A4-13,5.9
