Parameter,Test
Number of UCI information bits,1
Number of PRBs,1
First PRB prior to frequency hopping,0
Intra-slot frequency hopping,N/A for 1 symbol Enabled for 2 symbols
First PRB after frequency hopping,The largest PRB index – (Number of PRBs – 1)
Group and sequence hopping,neither
Hopping ID,0
Initial cyclic shift,0
First symbol,13 for 1 symbol12 for 2 symbols
