Number of TX antennas,Number of RX antennas,Cyclic prefix,Channel Bandwidth [MHz],SCS [kHz],Moving propagation conditions and correlation matrix (Annex G),FRC(Annex A),SNR[dB]
,,,5,15,Scenario X,G-FR1-A4-31A,10.6
1,2,Normal,10,15,Scenario X,G-FR1-A4-31,11.2
,,,10,30,Scenario X,G-FR1-A4-32A,10.8
,,,40,30,Scenario X,G-FR1-A4-32,12.0
