Parameter,Value
Modulation order,QSPK
Intra-slot frequency hopping,N/A
Number of symbols,1
The number of UCI information bits,22
First symbol,13
DM-RS sequence generation,NID0=0
Number of interlaces,1
Interlace index,0(note 1)
OCC-length-r16,Not configured
"NOTE 1:RBs 0,10,20,…,100 are allocated for 15kHz SCS and RBs 0,5,10,…,50 are allocated for 30kHz SCS",
