Range of frequencies (MHz),ΔFGlobal (kHz),FREF-Offs (MHz),NREF-Offs,Range of NREF
0 – 3000,5,0,0,0 – 599999
3000 – 24250,15,3000,600000,600000 – 2016666
24250 – 100000,60,24250.08,2016667,2016667 – 3279165
