Channel bandwidth (MHz),FFT size,CP length in FFT samples,EVM window length W,Ratio of W to total CP length (Note) (%)
400,1024,72,[36],[50]
800,2048,144,[72],[50]
1600,4096,288,[144],[50]
NOTE 1:These percentages are informative and apply to all OFDM symbols within subframe except for symbol 0 of slot 0 and slot 4. Symbol 0 of slot 0 and slot 4 may have a longer CP and therefore a lower percentage.,,,,
