Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB),
1,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-14,pos1,-2.8,
,2,Normal,TDLC300-100 Low,70 %,G-FR1-A4-14,pos1,10.2,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-14,pos1,13.0,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A9-5,pos1,21.1,
,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-14,pos1,-5.8,
,4,Normal,TDLC300-100 Low,70 %,G-FR1-A4-14,pos1,6.5,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-14,pos1,9.0,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A9-5,pos1,16.7,
,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-14,pos1,-8.7,
,8,Normal,TDLC300-100 Low,70 %,G-FR1-A4-14,pos1,3.2,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-14,pos1,5.8,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A9-5,pos1,13.1,
,2,Normal,TDLB100-400 Low,70 %,G-FR1-A3-28,pos1,1.4,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-28,pos1,19.2,
2,4,Normal,TDLB100-400 Low,70 %,G-FR1-A3-28,pos1,-2.2,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-28,pos1,11.6,
,8,Normal,TDLB100-400 Low,70 %,G-FR1-A3-28,pos1,-5.2,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-28,pos1,7.1,
3,4,Normal,TDLB100-400 Low,70 %,G-FR1-A3-46,pos1,0.0,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-24,pos1,16.4,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-20,pos1,18.9,
,8,Normal,TDLB100-400 Low,70 %,G-FR1-A3-46,pos1,-3.2,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-24,pos1,10.1,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-20,pos1,12.6,
,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-42,pos1,2.0,
,4,Normal,TDLC300-100 Low,70 %,G-FR1-A7-4,pos1,15.8,
4,,Normal,TDLA30-10 Low,70 %,G-FR1-A11-6,pos1,20.6,
,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-42,pos1,-1.4,
,8,Normal,TDLC300-100 Low,70 %,G-FR1-A7-4,pos1,8.5,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A11-6,pos1,12.2,
