Number of TX antennas,Number of demodulation branches,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS  position,PT-RS,SNR(dB)
,,,,,G-FR2-A4-1,pos0,Yes,4.0
1,2,Normal,TDLA30-300 Low,30 %,,,No,3.5
,,,,,G-FR2-A4-11,pos1,Yes,3.7
,,,,,,,No,3.1
