Frequency range,Basic limit,Measurement Bandwidth (NOTE 1),Note
3530 MHz – 3720 MHz,-25 dBm,1 MHz,Applicable 10 MHz from the assigned channel edge
3100 MHz – 3530 MHz3720 MHz – 4200 MHz,-40 dBm,1 MHz,
