BS channel bandwidth of the lowest/highest carrier received (MHz),Interfering signal centre frequency offset from the lower/upper Base Station RF Bandwidth edge or sub-block edge inside a sub-block gap (MHz),Type of interfering signal
10,±9.4675,
20,±9.4625,20 MHz DFT-s-OFDM NR signal
40,±9.4675,"15 kHz SCS, 100 RBs"
60,±9.4725,
80,±9.4625,
