BS channel bandwidth of the lowest/highest carrier received (MHz),Wanted signal mean power (dBm) (Note 1),Interfering signal mean power (dBm),Interfering signal centre frequency minimum offset from the lower/upper Base Station RF Bandwidth edge or sub-block edge inside a sub-block gap (MHz),Type of interfering signal
,EISREFSENS + x dB,Wide Area BS: -43 - ΔOTAREFSENSMedium Range BS: -38 - ΔOTAREFSENSLocal Area BS: -35 - ΔOTAREFSENS,±7.5,
"5, 7, 10, 15, 20",EISminSENS + x dB,Wide Area BS: -43  – ΔminSENSMedium Range BS: -38  – ΔminSENSLocal Area BS: -35  – ΔminSENS,±7.5,"5 MHz DFT-s-OFDM NR signal, 15 kHz SCS, 25 RBs"
,EISREFSENS + x dB,Wide Area BS: -43 - ΔOTAREFSENSMedium Range BS: -38 - ΔOTAREFSENSLocal Area BS: -35 - ΔOTAREFSENS,±30,
"25 ,30, 35, 40, 45, 50, 60, 70, 80, 90, 100",EISminSENS + x dB,Wide Area BS: -43  – ΔminSENSMedium Range BS: -38  – ΔminSENSLocal Area BS: -35  – ΔminSENS,±30,"20 MHz DFT-s-OFDM NR signal, 15 kHz SCS, 100 RBs"
"NOTE 1:For a BS capable of single band operation only, ""x"" is equal to 6 dB. For a BS capable of multi-band operation, ""x"" is equal to 6 dB in case of interfering signals that are in the in-band blocking frequency range of the operating band where the wanted signal is present or in the in-band blocking frequency range of an adjacent or overlapping operating band. For other in-band blocking frequency ranges of the interfering signal for the supported operating bands, ""x"" is equal to 1.4 dB.",,,,
