Number of TX antennas,Number of demodulation branches,Cyclic Prefix,Propagation conditions and correlation matrix,Number of PRBs,Additional DM-RS configuration,Channel bandwidth / SNR (dB)
,,,(annex G),,,100 MHz
1,2,Normal,TDLA30-650 Low,1,No additional DM-RS,3.0
,,,,,Additional DM-RS,3.0
1,2,Normal,TDLA30-650 Low,16,No additional DM-RS,-9.0
,,,,,Additional DM-RS,-8.9
