Binnumberi,Elevation angular rangeθHLi ≤ θ < θHHi (Degrees),EEIRP limit(dBm/MHz)
1,0≤<5,27
2,5≤<10,23
3,10≤<15,19
4,15≤<20,18
5,20≤<30,16
6,30≤<60,15
7,60≤<90,15
Note 1:The requirement shall apply to all supported mechanical tilts.Note 2:The requirement is defined based on [27].,,
