BS type,Operating band characteristics,ΔfOBUE (MHz)
BS type 1-H,"FDL,high – FDL,low < 100 MHz",10
,"100 MHz  FDL,high – FDL,low  900 MHz",40
,,
BS type 1-C,"FDL,high – FDL,low  200 MHz",10
,"200 MHz < FDL,high – FDL,low  900 MHz",40
,,
