"Frequency offset of measurement filter -3B point,  f","Frequency offset of measurement filter centre frequency, f_offset",Limit,Measurement bandwidth
0 MHz  f < 0.1*BWcontiguous,0.5 MHz  f_offset < 0.1* BWcontiguous +0.5 MHz,"Min(-5 dBm, Max(Prated,t,TRP – 33 dB, -12 dBm))",1 MHz
0.1*BWcontiguous  f < fmax,0.1* BWcontiguous +0.5 MHz  f_offset < f_ offsetmax,"Min(-13 dBm, Max(Prated,t,TRP – 41 dB, -20 dBm))",1 MHz
NOTE 1:For non-contiguous spectrum operation within any operating band the limit within sub-block gaps is calculated as a cumulative sum of contributions from adjacent sub-blocks on each side of the sub-block gap.,,,
