Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB)
,1,Normal,HST Scenario 3-NR500,70 %,G-FR1-A3-33,pos2,-0.7
,,Normal,HST Scenario 1-NR500,70 %,G-FR1-A3-33,pos2,-3.9
,2,Normal,HST Scenario 1-NR500,70 %,G-FR1-A4-29,pos2,8.5
1,,Normal,HST Scenario 3-NR500,70 %,G-FR1-A3-33,pos2,-3.6
,,Normal,HST Scenario 3-NR500,70 %,G-FR1-A4-29,pos2,9.2
,8,Normal,HST Scenario 1-NR500,70 %,G-FR1-A3-33,pos2,-9.4
,,Normal,HST Scenario 1-NR500,70 %,G-FR1-A4-29,pos2,2.7
