Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of  maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB)
,2,Normal,TDLB100-400 Low,70 %,G-FR1-A3-32,pos1,-2.7
1,4,Normal,TDLB100-400 Low,70 %,G-FR1-A3-32,pos1,-6.0
,8,Normal,TDLB100-400 Low,70 %,G-FR1-A3-32,pos1,-8.8
