Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB)
1,2,Normal,TDLA30-10 Low,70%,G-FR1-A3B-8,pos0,-9.8
,,,,,G-FR1-A3B-6,pos1,-9.5
,4,Normal,TDLA30-10 Low,70%,G-FR1-A3B-8,pos0,-13.3
,,,,,G-FR1-A3B-6,pos1,-13.1
,8,Normal,TDLA30-10 Low,70%,G-FR1-A3B-8,pos0,-15.5
,,,,,G-FR1-A3B-6,pos1,-15.8
