Reference channel,G-FR2-A5-11,G-FR2-A5-12,G-FR2-A5-13
Subcarrier spacing [kHz],120,120,480
Allocated resource blocks,66,264,66
CP-OFDM Symbols per slot (Note 1),8,8,8
Modulation,64QAM,64QAM,64QAM
Code rate (Note 2),567/1024,567/1024,567/1024
Payload size (bits),21000,83976,21000
Transport block CRC (bits),24,24,24
Code block CRC size (bits),24,24,24
Number of code blocks - C,3,10,3
Code block size including CRC (bits) (Note 2),7032,8424,7032
Total number of bits per slot without PT-RS,38016,152064,38016
Total number of bits per slot with PT-RS (Note 3),36432,145728,36432
Total symbols per slot without PT-RS,6336,25344,6336
Total symbols per slot with PT-RS (Note 3),6072,24288,6072
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, Additional DM-RS position = pos1 with l0= 0 and l =8 as per Table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in sub-clause 5.2.2 of TS 38.212 [15].NOTE 3:PT-RS configuration KPT-RS =2, LPT-RS =1.",,,
