Frequency range of interfering signal(Note 3),Wanted signal mean power (dBm),Interfering signal mean power for WA BS (dBm),Interfering signal mean power for MR BS (dBm),Interfering signal mean power for LA BS (dBm),Type of interfering signal
Frequency range of co-located downlink operating band,EISminSENS + 6 dB (Note 1),+46,+38,+24,CW carrier
"NOTE 1:EISminSENS depends on the BS class and on the BS channel bandwidth, see clause 10.2.NOTE 2:The requirement does not apply when the interfering signal falls within any of the supported uplink operating band(s) or in ΔfOOB immediately outside any of the supported uplink operating band(s).NOTE 3:Frequency range of NR, UTRA and E-UTRA bands, as described in clause 5.2, TS 25.104 [29] clause 5.2 and TS 36.104 [13] clause 5.5, respectively.",,,,,
