"Frequency offset of measurement filter 3dB point, f","Frequency offset of measurement filter centre frequency, f_offset","Basic limits (Note 1, 2)",Measurement bandwidth
0 MHz  f < 0.2 MHz,0.015 MHz  f_offset < 0.215 MHz,-14 dBm,30 kHz
0.2 MHz  f < 1 MHz,0.215 MHz  f_offset < 1.015 MHz,(Note 5),30 kHz
(Note 4),1.015 MHz  f_offset < 1.5 MHz,-26 dBm (Note 5),30 kHz
"1 MHz  f min( 10 MHz, fmax)","1.5 MHz  f_offset <min(10.5 MHz, f_offsetmax)",-13 dBm (Note 5),1 MHz
10 MHz  f  fmax,10.5 MHz  f_offset < f_offsetmax,-15 dBm (Note 3) (Note 5),1 MHz
"NOTE 1:For a BS supporting non-contiguous spectrum operation within any operating band, the minimum requirement within sub-block gaps is calculated as a cumulative sum of contributions from adjacent sub-blocks on each side of the sub-block gap, where the contribution from the far-end sub-block shall be scaled according to the measurement bandwidth of the near-end sub-block. Exception is f ≥ 10MHz from both adjacent sub-blocks on each side of the sub-block gap, where the minimum requirement within sub-block gaps shall be -15dBm/1MHz. For BS supporting multi-band operation, either this limit or -16dBm/100kHz (f_offset adjusted according to the measurement bandwidth), whichever is less stringent, shall apply at f ≥ 10MHz for operating bands <1GHz.NOTE 2:For a multi-band connector with Inter RF Bandwidth gap < 2*ΔfOBUE the minimum requirement within the Inter RF Bandwidth gaps is calculated as a cumulative sum of contributions from adjacent sub-blocks or RF Bandwidth on each side of the Inter RF Bandwidth gap, where the contribution from the far-end sub-block or RF Bandwidth shall be scaled according to the measurement bandwidth of the near-end sub-block or RF Bandwidth.NOTE 3:The requirement is not applicable when fmax < 10 MHz.NOTE 4:This frequency range ensures that the range of values of f_offset is continuous.NOTE 5:For BS supporting multi-band operation, either this limit or -16dBm/100kHz (f_offset adjusted according to the measurement bandwidth), whichever is less stringent, shall apply for operating bands <1GHz.",,,
