SCS (kHz),3MHz,5MHz,7 MHz,10MHz,15MHz,20 MHz,25 MHz,30MHz,35MHz,40 MHz,45 MHz,50 MHz,60 MHz,70MHz,80 MHz,90MHz,100 MHz
,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB,NRB
15,15,25,35,52,79,106,133,160,188,216,242,270,N/A,N/A,N/A,N/A,N/A
30,N/A,11,N/A,24,38,51,65,78,92,106,119,133,162,189,217,245,273
60,N/A,N/A,N/A,11,18,24,31,38,44,51,58,65,79,93,107,121,135
"Note: In FR1 bands applicable to SBFD operation, the BS channel bandwidth for SBFD operation shall be no less than 40MHz and no less than 20MHz for band n39.",,,,,,,,,,,,,,,,,
