Parameter,Value
Wanted signal,NR single carrier (NOTE)
Interfering signal type,NR signal of 10 MHz channel bandwidth
Interfering signal level,Rated total output power in the operating band – 30 dB
Interfering signal centre frequency offset from the lower (upper) edge of the wanted signal,± 5 MHz± 15 MHz± 25 MHz
NOTE:This requirement applies for NR carriers allocated within 2545-2645 MHz.,
