BS channel bandwidth of the lowest/highest carrier received (MHz),Wanted signal mean power (dBm)(Note 2),Interfering signal mean power (dBm)
"5, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80,90, 100 (Note 1)",EISminSENS + 6 dB,Wide Area BS: -52 – ΔminSENSMedium Range BS: -47– ΔminSENSLocal Area BS: -44– ΔminSENS
NOTE 1:The SCS for the lowest/highest carrier received is the lowest SCS supported by the BS for that bandwidthNOTE 2:EISminSENS depends on the BS channel bandwidth,,
