BS channel bandwidth of carrier transmitted adjacent to sub-block gap (MHz),,Sub-block gap size (Wgap) where the limit applies (MHz),BS adjacent channel centre frequency offset below or above the sub-block edge (inside the gap),Assumed adjacent channel carrier,Filter on the adjacent channel frequency and corresponding filter bandwidth,CACLR limit
"50, 100",,50 ≤Wgap< 100 (Note 5)50 ≤Wgap< 250 (Note 6),25 MHz,50 MHz NR (Note 2),Square (BWConfig),28 (Note 3)26 (Note 4)
"200, 400",,200 ≤Wgap< 400 (Note 6)200 ≤Wgap< 250 (Note 5),100 MHz,200 MHz NR (Note 2),Square (BWConfig),28 (Note 3)26 (Note 4)
NOTE 1:BWConfig is the transmission bandwidth configuration of the assumed adjacent channel carrier.NOTE 2:With SCS that provides largest transmission bandwidth configuration (BWConfig).NOTE 3:Applicable to bands defined within the frequency spectrum range of 24.25 – 33.4 GHz.NOTE 4:Applicable to bands defined within the frequency spectrum range of 37 – 52.6 GHz.NOTE 5:Applicable in case the BS channel bandwidth of the NR carrier transmitted at the other edge of the gap is 50 or 100 MHz.NOTE 6:Applicable in case the BS channel bandwidth of the NR carrier transmitted at the other edge of the gap is 200 or 400 MHz.,,,,,,
