Numberof TX,Number of demodulation,Cyclic Prefix,Propagation conditions and,Number ofRBs,Channel bandwidth / SNR (dB)
antennas,branches,,correlation matrix (Annex G),,100 MHz
1,2,Normal,TDLA30-650 Low,1,-4.1
,,,,16,-14.8
