Combination name,Tapped delay line model,Maximum Doppler frequency
TDLA30-75,TDLA30,75 Hz
TDLA30-300,TDLA30,300 Hz
TDLA10-650,TDLA10,650 Hz
TDLA30-650,TDLA30,650 Hz
TDLD10-200,TDLD10,200 Hz
TDLD30-200,TDLD30,200 Hz
TDLD30-35,TDLD30,35 Hz
