Parameter,Value
Wanted signal,NR single carrier
Interfering signal type,NR signal of 5 MHz channel bandwidth
Interfering signal power level,"min(46 dBm, Prated,t,TRP)"
Interfering signal centre frequency offset from the lower (upper) edge of the wanted signal,± 2.5 MHz± 7.5 MHz± 12.5 MHz
