Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB),
1,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-11,pos1,-2.4,
,2,Normal,TDLC300-100 Low,70 %,G-FR1-A4-11,pos1,10.1,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-11,pos1,12.5,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A9-3,pos1,19.2,
,4,Normal,TDLB100-400 Low,70 %,G-FR1-A3-11,pos1,-5.7,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-11,pos1,6.4,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-11,pos1,8.6,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A9-3,pos1,15.7,
,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-11,pos1,-8.8,
,8,Normal,TDLC300-100 Low,70 %,G-FR1-A4-11,pos1,3.2,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-11,pos1,5.6,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A9-3,pos1,12.4,
,2,Normal,TDLB100-400 Low,70 %,G-FR1-A3-25,pos1,1.1,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-25,pos1,18.5,
2,4,Normal,TDLB100-400 Low,70 %,G-FR1-A3-25,pos1,-2.5,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-25,pos1,11.3,
,8,Normal,TDLB100-400 Low,70 %,G-FR1-A3-25,pos1,-5.6,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-25,pos1,7.0,
3,4,Normal,TDLB100-400 Low,70 %,G-FR1-A3-45,pos1,0.1,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-23,pos1,16.0,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-19,pos1,17.1,
,8,Normal,TDLB100-400 Low,70 %,G-FR1-A3-45,pos1,-3.2,
,,Normal,TDLC300-100 Low,70 %,G-FR1-A4-23,pos1,9.8,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A5-19,pos1,11.8,
,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-41,pos1,1.7,
,4,Normal,TDLC300-100 Low,70 %,G-FR1-A7-3,pos1,15.0,
4,,Normal,TDLA30-10 Low,70 %,G-FR1-A11-4,pos1,19.2,
,,Normal,TDLB100-400 Low,70 %,G-FR1-A3-41,pos1,-1.6,
,8,Normal,TDLC300-100 Low,70 %,G-FR1-A7-3,pos1,8.3,
,,Normal,TDLA30-10 Low,70 %,G-FR1-A11-4,pos1,1.7,
