Number of TX antennas,Number of demodulation branches,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB)
1,2,Normal,"Scenario 4-BI-NR350, FR2",70%,G-FR2-A10-2,pos0,12.8
1,2,Normal,"Scenario 4-BI-NR350, FR2",70%,"G-FR2-A10-4, G-FR2-A10-6","pos1, pos2",12.3
