Number of,Number of,Cyclic Prefix,Propagation,Channel bandwidth / SNR (dB),,,
TX antennas,RX antennas,,conditions and correlation matrix (Annex G),10 MHz,20 MHz,40 MHz,100 MHz
,2,Normal,TDLC-300-100 Low,-2.8,-3.3,-3.9,-3.5
1,4,Normal,TDLC-300-100 Low,-8.1,-8.3,-7.5,-8.0
,8,Normal,TDLC-300-100 Low,-11.5,-11.2,-11.6,-11.3
