Number of,Number of,Cyclic Prefix,Propagation,Channel bandwidth / SNR (dB),,,
TX antennas,RX antennas,,conditions and correlation matrix (Annex G),10 MHz,20 MHz,40 MHz,100 MHz
,2,Normal,TDLC-300-100 Low,-3.9,-4.4,-4.4,-4.2
1,4,Normal,TDLC-300-100 Low,-8.0,-8.1,-8.4,-8.3
,8,Normal,TDLC-300-100 Low,-11.4,-11.4,-11.4,-11.4
