SCS (kHz),3MHz,5MHz,7 MHz,10MHz,15MHz,20MHz,25MHz,30MHz,35MHz,40 MHz,45MHz,50MHz,60MHz,70MHz,80MHz,90MHz,100MHz
,"NRB, LP-WUS","NRB, LP-WUS","NRB, LP-WUS","NRB, LP-WUS","NRB, LP-WUS","NRB, LP-WUS","NRB, LP-WUS","NRB, LP-WUS","NRB, LP-WUS","NRB, LP-WUS","NRB, LP-WUS","NRB, LP-WUS","NRB, LP-WUS","NRB, LP-WUS","NRB, LP-WUS","NRB, LP-WUS","NRB, LP-WUS"
15,11,11,11,11,11,11,11,11,11,11,11,11,N/A,N/A,N/A,N/A,N/A
30,N/A,11,N/A,11,11,11,11,11,11,11,11,11,11,11,11,11,11
60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
