"Filter centre frequency, Ffilter",Declared basic limits (dBm),Measurement bandwidth
1518.5 MHz ≤ Ffilter ≤ 1519.5 MHz,"PEM, n50/n75,a",1 MHz
1520.5 MHz ≤ Ffilter ≤ 1558.5 MHz,"PEM,n50/n75,b",1 MHz
