Reference channel,G-FR2-A3A-5,G-FR2-A3A-6,G-FR2-A3A-7,G-FR2-A3A-8
Subcarrier spacing [kHz],60,60,120,120
Allocated resource blocks,66,132,32,66
Data bearing CP-OFDM Symbols per slot (Note 1),8,8,8,8
Modulation,QPSK,QPSK,QPSK,QPSK
Code rate (Note 2),99/1024,99/1024,99/1024,99/1024
Payload size (bits),1224,2472,608,1224
Transport block CRC (bits),16,16,16,16
Code block CRC size (bits),-,-,-,-
Number of code blocks - C,1,1,1,1
Code block size including CRC (bits) (Note 2),1240,2488,624,1240
Total number of bits per slot,12672,25344,6144,12672
Total symbols per slot,6336,12672,3072,6336
"NOTE 1:DM-RS configuration type = 1 with DM-RS duration = single-symbol DM-RS and the number of DM-RS CDM groups without data is 2, additional DM-RS position = pos1, l0= 0 and l = 8 as per table 6.4.1.1.3-3 of TS 38.211 [9].NOTE 2:Code block size including CRC (bits) equals to K' in clause 5.2.2 of TS 38.212 [15].",,,,
