Range of frequencies (MHz),SS block frequency position SSREF,GSCN,Range of GSCN
0 – 3000,"N * 1200 kHz + M * 50 kHz,N = 1:2499, M ϵ {1,3,5}",3N + (M-3)/2,22 – 7498
3000 – 24250,"3000 MHz + N * 1.44 MHz, N = 0:14756",7499 + N,7499 – 22255
24250 – 100000,"24250.08 MHz + N * 17.28 MHz, N = 0:4383",22256 + N,22256 – 26639
NOTE 1:The default value for operating bands which only support SCS spaced channel raster(s) is M=3.NOTE 2:GSCN=2 (corresponding to ARFCN-ValueNR = 250) is a reserved value paired with reserved operating band n200.,,,
