BS class,"Prated,c,TRP"
Wide Area BS,(note)
Medium Range BS,≤ + 47 dBm
Local Area BS,≤ + 33 dBm
"NOTE:There is no upper limit for the Prated,c,TRP of the Wide Area Base Station.",
