Frequency Range,BS channel bandwidth of the lowest/highest carrier received (MHz),Interfering signal centre frequency offset from the lower/upper Base Station RF Bandwidth edge or sub-block edge inside a sub-block gap (MHz),Type of interfering signal
FR2-1,50,±24.29,
,100,±24.31,50 MHz DFT-s-OFDM NR
,200,±24.29,"signal,60 kHz SCS, 64 RBs"
,400,±24.31,
FR2-2,100,±48.58,
,400,±48.58,100 MHz DFT-s-OFDM NR
,800,±48.62,"signal,120 kHz SCS, 64 RBs"
,1600,±48.58,
,2000,±48.62,
