SCS (kHz),50 MHz,100 MHz,200 MHz,400 MHz
,"NRB,LP-WUS","NRB,LP-WUS","NRB,LP-WUS","NRB,LP-WUS"
60,11,11,11,N/A
120,11,11,11,11
