Operating band,"Fstep,1(GHz)","Fstep,2(GHz)","Fstep,3(GHz) (Note 2)","Fstep,4(GHz) (Note 2)","Fstep,5(GHz)","Fstep,6(GHz)"
n257,18,23.5,25,31,32.5,41.5
n258,18,21,22.75,29,30.75,40.5
n259,23.5,35.5,38,45,47.5,59.5
n263,18,43,53.5,74.5,85,127
"NOTE 1:Fstep,X are based on ERC Recommendation 74-01 [19], Annex 2.NOTE 2:Fstep,3 and Fstep,4 are aligned with the values for ΔfOBUE in Table 9.7.1-1.",,,,,,
