Tap #,Delay (ns),Power (dB),Fading distribution
1,0,-15.5,Rayleigh
2,10,0,Rayleigh
3,15,-5.1,Rayleigh
4,20,-5.1,Rayleigh
5,25,-9.6,Rayleigh
6,50,-8.2,Rayleigh
7,65,-13.1,Rayleigh
8,75,-11.5,Rayleigh
9,105,-11.0,Rayleigh
10,135,-16.2,Rayleigh
11,150,-16.6,Rayleigh
12,290,-26.2,Rayleigh
