BS channel bandwidth (MHz),Subcarrier spacing (kHz),Reference measurement channel,Wanted signal mean power (dBm),Interfering signal mean power (dBm) / BWConfig,Type of interfering signal
20,15,G-FR1-A2-9(Note 2),-68.8,-70.2,AWGN
,30,G-FR1-A2-10(Note 2),-65.8,,
,60,"G-FR1-A2-6(Note 1, 3)",-58.8,,
40,15,G-FR1-A2-11(Note 2),-65.7,-67.1,AWGN
,30,G-FR1-A2-12(Note 2),-62.7,,
,60,"G-FR1-A2-6(Note 1, 3)",-58.8,,
60,30,G-FR1-A2-13(Note 2),-60.9,-65.3,AWGN
,60,"G-FR1-A2-6(Note 1, 3)",-58.8,,
80,30,G-FR1-A2-14(Note 2),-59.7,-64.1,AWGN
,60,"G-FR1-A2-6(Note 1, 3)",-58.8,,
"Note 1:The wanted signal mean power is the power level of a single instance of the corresponding reference measurement channel. This requirement shall be met for each consecutive application of a single instance of the reference measurement channel mapped to disjoint frequency ranges with a width corresponding to the number of resource blocks of the reference measurement channel each, except for one instance that might overlap one other instance to cover the full BS channel bandwidth.Note 2:The wanted signal mean power is the power level of a single instance of the corresponding reference measurement channel. This requirement shall be met for each interleaved application of a single instance of the reference measurement channel mapped to disjoint frequency ranges with a width corresponding to the number of resource blocks of the reference measurement channel each, except for one instance that might overlap one other instance to cover the full BS channel bandwidth.Note 3:For 60kHz SCS reference measurement channel is reused from Table 7.3.2-2.",,,,,
