Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Target BLER,FRC(Annex A),Additional DM-RS position,SNR(dB)
1,2,Normal,TDLB100-400 Low,1% (Note 1),G-FR1-A3A-1,pos1,-8.4
"Note 1:BLER is defined as residual BLER; i.e. ratio of incorrectly received transport blocks / sent transport blocks, independently of the number HARQ transmission(s) for each transport block.",,,,,,,
