BS class,"Prated,c,sys","Prated,c,TABC"
Wide Area BS,(Note),(Note)
Medium Range BS,"≤ 38 dBm +10log(NTXU,counted)",≤ 38 dBm
Local Area BS,"≤ 24 dBm +10log(NTXU,counted)",≤ 24 dBm
"NOTE:There is no upper limit for the Prated,c,sys or Prated,c,TABC of the Wide Area Base Station.",,
