Number of,Number of,Cyclic Prefix,Propagation,Channel bandwidth / SNR (dB),,,
TX antennas,RX antennas,,conditions and correlation matrix (Annex G),10 MHz,20 MHz,40 MHz,100 MHz
,2,Normal,TDLC300-100 Low,5.5,5.6,5.5,5.7
1,4,Normal,TDLC300-100 Low,0.3,0.2,0.3,0.4
,8,Normal,TDLC300-100 Low,-3.6,-3.6,-3.5,-3.3
