Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB)
1,2,Normal,TDLC300-100 Low,70%,G-FR1-A4-11,pos1,10.1
2,2,Normal,TDLC300-100 Low,70%,G-FR1-A4-25,pos1,18.5
