BS channel bandwidth of the lowest/highest carrier received (MHz),OTA Wanted signal mean power (dBm),OTA Interfering signal mean power (dBm)
"5, 7, 10, 15, 20",EISREFSENS + 6 dB,Wide Area BS: -49 - ΔOTAREFSENSMedium Range BS: -44 - ΔOTAREFSENSLocal Area BS: -41 - ΔOTAREFSENS
,EISminSENS + 6 dB,Wide Area BS: -49  – ΔminSENSMedium Range BS: -44  – ΔminSENSLocal Area BS: -41  – ΔminSENS
"25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",EISREFSENS + 6 dB,Wide Area BS: -49 - ΔOTAREFSENSMedium Range BS: -44 - ΔOTAREFSENSLocal Area BS: -41 - ΔOTAREFSENS
,EISminSENS + 6 dB,Wide Area BS: -49  – ΔminSENSMedium Range BS: -44  – ΔminSENSLocal Area BS: -41  – ΔminSENS
NOTE 1:The SCS for the lowest/highest carrier received is the lowest SCS supported by the BS for that bandwidth. NOTE 2:7.5 kHz shift is not applied to the wanted signal.,,
