Receiver requirement,Modulation
In-channel selectivity,16QAM
Adjacent channel selectivity and narrow-band blocking,QPSK
General blocking,QPSK
Receiver intermodulation,QPSK
In-channel adjacent subband blocking for SBFD,QPSK
