Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),Fraction of maximum throughput,FRC(Annex A),Additional DM-RS position,SNR(dB)
1,2,Normal,TDLA30-10 Low,70%,G-FR1-A3B-7,pos0,-8.3
,,,,,G-FR1-A3B-5,pos1,-9.9
,4,Normal,TDLA30-10 Low,70%,G-FR1-A3B-7,pos0,-11.8
,,,,,G-FR1-A3B-5,pos1,-12.3
,8,Normal,TDLA30-10 Low,70%,G-FR1-A3B-7,pos0,-15.0
,,,,,G-FR1-A3B-5,pos1,-15.6
