BS type,Frequency Range,Operating band characteristics (MHz),ΔfOOB (MHz)
BS type 2-O,FR2-1,FUL_high – FUL_low ≤ 4000,1500
,FR2-2,4000 < FUL_high – FUL_low ≤14000,3500
