Number of TX antennas,Number of RX antennas,Cyclic prefix,Propagation conditions and correlation matrix (Annex G),"UCI bits(CSI part 1, CSI part 2)",Additional DM-RS position,FRC(Annex A),SNR(dB)
1,2,Normal,TDLC300-100 Low,"7(5,2)",pos1,G-FR1-A4-11,0.3
,2,Normal,TDLC300-100 Low,"40(20,20)",pos1,G-FR1-A4-11,2.6
